JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2449971.88,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449972.83,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449972.9,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449974.86,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449980.88,<10.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449982.86,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449992.84,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2449995.84,<10.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450081.13,<10.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450082.13,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450098.15,<10.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450099.13,<10.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450101.13,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450102.13,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450103.13,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450104.15,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450106.11,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450107.13,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450108.13,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450111.13,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450112.15,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450117.15,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450118.18,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450119.17,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450123.13,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450130.2,<12.0,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450135.13,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450136.16,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450137.14,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450138.15,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450139.13,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450141.13,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450142.12,<12.3,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450143.12,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450147.2,<11.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450148.18,<10.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450150.16,<10.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450151.16,<10.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
2450153.17,<10.9,,,Vis.,JA,K,NA,,NA,,,,Z,,,,GW LIB,,STD,,,,
